date,nav,daily_return,ma_5,ma_10,ma_20,ma_60,ma_ratio_5_20,ma_ratio_10_60,price_ma5_ratio,price_ma20_ratio,return_5d,return_10d,return_20d,volatility_5d,volatility_10d,volatility_20d,momentum_5d,momentum_10d,momentum_20d,rsi,bb_middle,bb_upper,bb_lower,bb_width,bb_position,macd,macd_signal,macd_histogram,highest_20d,lowest_20d,channel_position,price_percentile_20d,return_percentile_20d,price_deviation_20d,return_deviation_20d,price_change_rate,price_change_rate_5d,cumulative_return_5d,cumulative_return_10d,cumulative_return_20d,year,month,day,dayofweek,quarter,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,days_from_month_start,days_to_month_end,market_close,market_return,excess_return,relative_strength_5d,relative_strength_10d,relative_strength_20d,beta_20d,alpha_20d,future_return_10d,future_return_10d_binary,future_return_10d_category
2023-11-02,1.7158,-0.0010479739170936586,1.7059799999999998,1.68717,1.70506,1.7495366666666667,1.0005395704549986,0.9643524666530757,1.005756222230038,1.0062988985724843,0.0191256830601092,0.02724061545830092,-0.021723017275785406,0.00473758110328077,0.005195043949742336,0.00800076367973512,0.0191256830601092,0.02724061545830092,-0.021723017275785406,47.41661216481359,1.70506,1.7615177308118335,1.6486022691881665,0.06622374674420076,0.5951154062124374,-0.012657237003104393,-0.01771326438434537,0.005056027381240977,1.7474,1.6548,0.658747300215982,0.6,0.5,0.3804616248497503,0.002361894309169092,-0.0010479739170936586,0.0191256830601092,0.019125683060109422,0.0272406154583007,-0.021723017275785184,2023,11,2,3,4,0,0,0,0,0,0,2,28,3554.189,-0.004715170173734351,0.0036671962566406924,1.0076434943378836,1.0212740348218963,1.0185471518779792,0.8470636463272123,0.0009159522589752611,-0.009558223569180568,0,1.0
2023-11-03,1.7289,0.007634922485138196,1.71224,1.6935300000000002,1.7041350000000002,1.747718333333333,1.0047560785970593,0.9689948132374498,1.0097299444003178,1.0145322993776902,0.018437794533459062,0.038191316879841564,-0.010587158063408486,0.004582843743425538,0.0049829307459060375,0.00820320020466274,0.018437794533459062,0.038191316879841564,-0.010587158063408486,55.36869340232864,1.7041350000000002,1.7582286137878769,1.6500413862121235,0.06348512739645237,0.7289087219899347,-0.00954890596753133,-0.016080392486030708,0.006531486518499378,1.7405,1.6548,0.864644107351227,0.8,0.85,0.9156348879597372,0.9916551717325273,0.007634922485138196,0.018437794533459062,0.018437794533459062,0.038191316879841564,-0.010587158063408264,2023,11,3,4,4,0,0,0,0,0,0,3,27,3584.136,0.008425832165931624,-0.0007909096807934279,1.0122572142014354,1.0168874777446744,1.0185036227261932,0.8442142607360167,0.000913376596402482,-0.02093816877783561,0,1.0
2023-11-06,1.7292,0.0001735207357278501,1.71886,1.7009700000000003,1.703585,1.7458983333333333,1.0089663855927353,0.974266351897161,1.00601561500064,1.0150359389170485,0.019515358764223834,0.044960116026105945,-0.006321112515802696,0.004338158196607983,0.003811442771519839,0.008159528659485837,0.019515358764223834,0.044960116026105945,-0.006321112515802696,52.965235173824176,1.703585,1.756341811483401,1.6508281885165987,0.06193622447180642,0.7427648608754472,-0.0069809951578438945,-0.014260512828737646,0.007279517670893751,1.7405,1.6548,0.8681446907817983,0.85,0.5,0.9710594435017882,0.056210078734806324,0.0001735207357278501,0.019515358764223834,0.019515358764223834,0.044960116026105945,-0.006321112515802696,2023,11,6,0,4,0,0,0,0,0,0,6,24,3632.608,0.013524040382396185,-0.013350519646668335,1.0058092137409762,0.9994049491007571,1.007935738192225,0.7364249113461568,0.00038695734131654615,-0.0178117048346057,0,1.0
2023-11-07,1.7218,-0.004279435577145496,1.72266,1.70688,1.7032,1.744165,1.0114255519023017,0.9786230087176385,0.9995007720618113,1.010920620009394,0.011158092553441357,0.035544596138810336,-0.00445215380167685,0.005663742188797046,0.0046903557001773885,0.008099312301366159,0.011158092553441357,0.035544596138810336,-0.00445215380167685,52.642276422764226,1.7032,1.755268416530565,1.6511315834694351,0.06114187004528526,0.6786111547014444,-0.005477912622045444,-0.01250399263941267,0.007026080017367226,1.7405,1.6548,0.7817969661610272,0.75,0.25,0.7144446188057785,-0.5047061479334373,-0.004279435577145496,0.011158092553441357,0.011158092553441135,0.03554459613881056,-0.00445215380167685,2023,11,7,1,4,0,0,0,0,0,0,7,23,3619.759,-0.0035371281459491977,-0.0007423074311962985,0.9979582487662089,0.9976019474041034,1.0058249492786364,0.7363362471155017,0.00028274540076714814,-0.0063305842722731764,0,1.0
2023-11-08,1.7185,-0.00191659890811946,1.7228400000000001,1.7111899999999998,1.7025700000000001,1.7423933333333332,1.0119055310501184,0.9820916823220167,0.9974809036242482,1.0093564434942468,0.0005239869585467183,0.02572519995225009,-0.007278608976951206,0.004509534428058498,0.004728722756733407,0.008103614398901005,0.0005239869585467183,0.02572519995225009,-0.007278608976951206,72.48134328358206,1.7025700000000001,1.7535097208266315,1.6516302791733688,0.05983862140955301,0.6563612809561331,-0.004500300473050611,-0.010903254098250693,0.006402953625200082,1.7405,1.6548,0.7432905484247369,0.7,0.4,0.6254451238245328,-0.19532641569433876,-0.00191659890811946,0.0005239869585467183,0.0005239869585467183,0.025725199952249866,-0.007278608976950984,2023,11,8,2,4,0,0,0,0,0,0,8,22,3611.072,-0.0023998835281575648,0.0004832846200381047,0.9894286714794439,0.9954414873960591,1.008247233011084,0.7397545106758691,0.0004031424264099581,-0.010997963340122152,0,1.0
2023-11-09,1.7199,0.0008146639511201759,1.72366,1.71482,1.7015400000000003,1.7406666666666666,1.0129999882459417,0.9851512830333207,0.9978185953146212,1.0107902253252934,0.002389555892295059,0.021560940841054865,-0.011835679402470545,0.004466391497094401,0.004680039237992736,0.007995837287016796,0.002389555892295059,0.021560940841054865,-0.011835679402470545,76.35135135135124,1.7015400000000003,1.750024371871665,1.6530556281283355,0.05698881233666533,0.6893393612337346,-0.003571727271348246,-0.00943694865380717,0.005865221382458924,1.7292,1.6548,0.8749999999999989,0.75,0.6,0.7573574449349381,0.17248767398062975,0.0008146639511201759,0.002389555892295059,0.002389555892295281,0.021560940841054865,-0.011835679402470434,2023,11,9,3,4,0,0,0,0,0,0,9,21,3612.826,0.00048572833773463664,0.00032893561338553923,0.9861205419987792,0.9936579487780173,1.0126592848984486,0.7534629569543815,0.0006229804823249807,-0.009651723937438184,0,1.0
2023-11-10,1.7098,-0.005872434443862984,1.71984,1.71604,1.700845,1.7388000000000001,1.0111679782696248,0.9869105129974695,0.9941622476509443,1.0052650300291914,-0.011047486841344267,0.007186616399623036,-0.008064048268260127,0.0028553306967867404,0.004751691173647514,0.007812287452115212,-0.011047486841344267,0.007186616399623036,-0.008064048268260127,76.6472868217053,1.700845,1.748381112588225,1.653308887411775,0.055897054215081315,0.5941915473565487,-0.0036070573518549587,-0.008270970343121188,0.00466391299126623,1.7292,1.6548,0.7392473118279559,0.5,0.2,0.37676618942619405,-0.7036240368928498,-0.005872434443862984,-0.011047486841344267,-0.011047486841344156,0.007186616399622814,-0.008064048268260016,2023,11,10,4,4,0,0,0,0,0,0,10,20,3586.489,-0.007289861177925516,0.0014174267340625324,0.9883036877298137,1.0004175377263866,1.0132104364278194,0.7426260809730858,0.0006501619369058909,-0.005673178149491198,0,1.0
2023-11-13,1.7008,-0.0052637735407649044,1.7141600000000001,1.7165100000000002,1.7002700000000002,1.7373750000000001,1.0081692907597029,0.9879905029138788,0.9922060951136417,1.0003117151981744,-0.01642377978255838,0.002771063026944187,-0.006716112830695509,0.0027512413447369098,0.005105328033805216,0.007761219872991441,-0.01642377978255838,0.002771063026944187,-0.006716112830695509,68.26462128475546,1.7002700000000002,1.747499923610048,1.6530400763899524,0.05555579244478552,0.5056108496424412,-0.00430978228736989,-0.007478732704631812,0.0031689504172619223,1.7292,1.6548,0.6182795698924735,0.45,0.2,0.022443398569764673,-0.6385268977198336,-0.0052637735407649044,-0.01642377978255838,-0.016423779782558268,0.002771063026944409,-0.006716112830695398,2023,11,13,0,4,0,0,0,0,0,0,13,17,3579.414,-0.0019726813605172033,-0.003291092180247701,0.998193236706243,1.003991954573067,1.0063771235617167,0.7503040759841373,0.000313849607487271,-0.009230950141110084,0,1.0
2023-11-14,1.6996,-0.0007055503292568988,1.7097200000000001,1.7161899999999999,1.6992250000000002,1.736168333333333,1.0061763450985008,0.9884928592753583,0.9940809021360222,1.0002206888434433,-0.012893483563712338,-0.0018792576932112892,-0.012147631502470113,0.002894813857692455,0.0049440340502489456,0.007667993209365654,-0.012893483563712338,-0.0018792576932112892,-0.012147631502470113,63.038793103448214,1.6992250000000002,1.7454851738454469,1.6529648261545535,0.05444855607167581,0.504053162459491,-0.004906707644558361,-0.00696432767841595,0.002057620033857589,1.7292,1.6548,0.6021505376344077,0.45,0.55,0.016212649837964378,-0.01601499819304993,-0.0007055503292568988,-0.012893483563712338,-0.012893483563712338,-0.0018792576932114002,-0.012147631502470113,2023,11,14,1,4,0,0,0,0,0,0,14,16,3582.058,0.0007386683965586727,-0.0014442187258155714,0.9974957683066272,0.9954591300909856,1.0036665753638403,0.7420535032485019,0.0001787375619072107,-0.007648858554954008,0,1.0
2023-11-15,1.7112,0.006825135325959186,1.70826,1.71555,1.6990850000000002,1.7351750000000001,1.0053999652754275,0.9886899015949399,1.0017210494889537,1.0071303083718588,-0.004247890602269377,-0.0037261294829995517,-0.0016336056009333966,0.005157651041766788,0.004594935752716463,0.007800844264566197,-0.004247890602269377,-0.0037261294829995517,-0.0016336056009333966,64.3451143451143,1.6990850000000002,1.7451735315110228,1.6529964684889775,0.054251001581466084,0.6314318291645116,-0.0043950463114426075,-0.006450471393672464,0.0020554250822298562,1.7292,1.6548,0.7580645161290321,0.65,0.8,0.5257273166580466,0.8816644945433909,0.006825135325959186,-0.004247890602269377,-0.004247890602269266,-0.0037261294829993297,-0.0016336056009335076,2023,11,15,2,4,0,0,0,0,0,0,15,15,3607.245,0.007031432768537016,-0.00020629744257782967,0.9968085231768518,0.9862709328062591,0.9992885820592167,0.7639573407933978,-3.869159567994051e-05,-0.016596540439457685,0,1.0
2023-11-16,1.6994,-0.006895745675549292,1.7041600000000003,1.7139099999999998,1.7005399999999997,1.7340849999999999,1.0021287355781108,0.9883656222157506,0.9972068350389632,0.999329624707446,-0.011919297633583348,-0.009558223569180568,0.01742201999640791,0.005666645274270408,0.00504204593066572,0.005323127082953678,-0.011919297633583348,-0.009558223569180568,0.01742201999640791,50.957446808510646,1.7005399999999997,1.7445947697399782,1.6564852302600213,0.051812682724285776,0.4870615598863841,-0.004883537942009797,-0.006137084697802867,0.00125354675579307,1.7292,1.6548,0.5994623655913973,0.4,0.05,-0.05175376045446359,-1.4602623571382576,-0.006895745675549292,-0.011919297633583348,-0.011919297633583015,-0.009558223569180346,0.017422019996408133,2023,11,16,3,4,0,0,0,0,0,0,16,14,3572.364,-0.009669706382571697,0.002773960707022405,0.9992720931035172,0.9854027380554944,1.006366230218479,0.5397314831613257,0.0003080475346675715,-0.0048252324349770115,0,1.0
2023-11-17,1.6927,-0.003942567965164123,1.7007400000000001,1.71029,1.7019099999999998,1.7327916666666667,0.9993125370906807,0.9870142111717605,0.9952726460246716,0.9945884329958695,-0.010001169727453463,-0.02093816877783561,0.016453491863327896,0.0054303007739261245,0.004091791675997188,0.0053635287531317065,-0.010001169727453463,-0.02093816877783561,0.016453491863327896,48.286290322580726,1.7019099999999998,1.7429516425238198,1.6608683574761798,0.048230097389192185,0.38779688831100806,-0.005744079550835224,-0.006058483667298329,0.00031440411646310555,1.7292,1.6548,0.5094086021505381,0.25,0.3,-0.44881244675596726,-0.8898115259249384,-0.003942567965164123,-0.010001169727453463,-0.01000116972745313,-0.020938168777835386,0.016453491863328118,2023,11,17,4,4,0,0,0,0,0,0,17,13,3568.069,-0.0012022850974873212,-0.002740282867676802,0.9951096558910033,0.9834705426126243,1.0000788795135378,0.5482885995304314,-4.122494879155169e-06,-0.01039758964967219,0,1.0
2023-11-20,1.6984,0.0033674011933595427,1.70026,1.70721,1.70409,1.7319316666666669,0.9977524661256154,0.9857259572404221,0.9989060496629926,0.9966609744790473,-0.0014111006585137975,-0.0178117048346057,0.026347594875513636,0.005503398897223151,0.004402378531126545,0.005116700888956753,-0.0014111006585137975,-0.0178117048346057,0.026347594875513636,47.75967413441946,1.70409,1.738727667357956,1.6694523326420443,0.040652392019149004,0.4178639840091126,-0.00589886715512522,-0.006026560364502724,0.00012769320937750395,1.7292,1.6627,0.5368421052631555,0.35,0.6,-0.3285440639635504,0.4013935790427285,0.0033674011933595427,-0.0014111006585137975,-0.0014111006585135755,-0.01781170483460559,0.026347594875513858,2023,11,20,0,4,0,0,0,0,0,0,20,10,3576.323,0.0023132960713483364,0.0010541051220112063,0.9994519752683155,0.9976462021255276,0.9970525518558269,0.5342570462454826,-0.00015380690492500793,-0.01943005181347146,0,1.0
2023-11-21,1.7109,0.0073598681111635145,1.7025199999999998,1.7061199999999999,1.7065000000000001,1.7315833333333333,0.997667740990331,0.985294768756918,1.0049221154523884,1.0025783767946088,0.0066486232054601135,-0.0063305842722731764,0.028988993805256547,0.00644532521767585,0.005145996350271013,0.0052399311831437655,0.0066486232054601135,-0.0063305842722731764,0.028988993805256547,46.50677789363925,1.7065000000000001,1.7352126599622126,1.6777873400377876,0.033650934617301495,0.5766212535827507,-0.004957303646058175,-0.005812709018879261,0.0008554053728210857,1.7292,1.6754,0.6598513011152424,0.6,0.8,0.3064850143310033,1.1292102374778306,0.0073598681111635145,0.0066486232054601135,0.006648623205460336,-0.006330584272273065,0.028988993805256547,2023,11,21,1,4,0,0,0,0,0,0,21,9,3581.067,0.0013265021084505335,0.006033366002712981,1.006927196263601,1.0044056172657985,1.0019969997679807,0.5268000252855926,9.461227189518362e-05,-0.04377812847039586,0,1.0
2023-11-22,1.6996,-0.006604710970834149,1.7002,1.7042300000000001,1.7077099999999998,1.730891666666667,0.9956022978140318,0.9845965711314495,0.9996471003411364,0.9952509501027693,-0.0067788686302010515,-0.010997963340122152,0.014444311806135923,0.006387568651921625,0.005479674639321573,0.005320861688590243,-0.0067788686302010515,-0.010997963340122152,0.014444311806135923,42.31499051233399,1.7077099999999998,1.732703043242604,1.6827169567573956,0.02927082846924151,0.3377548519946705,-0.005063238981125151,-0.005662815010243656,0.0005995760291185046,1.7292,1.6836,0.3508771929824558,0.375,0.1,-0.6489805920213174,-1.378620810650916,-0.006604710970834149,-0.0067788686302010515,-0.0067788686302010515,-0.010997963340122152,0.014444311806135701,2023,11,22,2,4,0,0,0,0,0,0,22,8,3544.416,-0.010234659111376554,0.003629948140542405,1.0108271602509555,1.0076011287968054,1.0030079663514406,0.5294936943543409,0.00014265720270332795,-0.039185690750764834,0,1.0
2023-11-23,1.7033,0.0021769828194868612,1.7009800000000002,1.7025700000000001,1.708695,1.7305633333333335,0.9954848583275541,0.9838241497469995,1.0013639196228057,0.996842619660033,0.0022949276215133985,-0.009651723937438184,0.011701116654787347,0.0056635079291349096,0.005548835459391447,0.00524307335719023,0.0022949276215133985,-0.009651723937438184,0.011701116654787347,36.66666666666668,1.708695,1.7311066957248558,1.6862833042751444,0.026232529181457995,0.3796387371523897,-0.0047937607512358316,-0.005489004157435795,0.0006952434061999633,1.7292,1.6927,0.29041095890410823,0.5,0.65,-0.48144505139043925,0.30175272525063296,0.0021769828194868612,0.0022949276215133985,0.0022949276215133985,-0.009651723937438184,0.011701116654787569,2023,11,23,3,4,0,0,0,0,0,0,23,7,3561.52,0.004825618663272024,-0.002648635843785163,1.005346682545009,1.0046148837614282,0.998243564710247,0.518358401064491,-9.628259419738883e-05,-0.04538249280807849,0,1.0
2023-11-24,1.7001,-0.0018787060412142065,1.7024599999999999,1.7015999999999998,1.70882,1.7298983333333333,0.9962781334488126,0.9836416205576627,0.9986137706612784,0.9948970634706991,0.004371713829975699,-0.005673178149491198,0.001472667295004726,0.005326567618720874,0.005293471544131748,0.004939745849459026,0.004371713829975699,-0.005673178149491198,0.001472667295004726,35.28816986855409,1.70882,1.7309978077792891,1.6866421922207109,0.025956868224024914,0.30340707957295754,-0.004782947797250303,-0.0053477928847446505,0.0005648450874943473,1.7292,1.6927,0.20273972602739332,0.35,0.4,-0.7863716817081702,-0.39756421191917424,-0.0018787060412142065,0.004371713829975699,0.0043717138299752545,-0.005673178149491087,0.0014726672950042818,2023,11,24,4,4,0,0,0,0,0,0,24,6,3538.009,-0.006601394910038416,0.00472268886882421,1.012905161234357,1.0079517064461425,1.008372564309959,0.4881406657565227,0.0004104450766194478,-0.04123286865478504,0,1.0
2023-11-27,1.6851,-0.008823010411152188,1.6998000000000002,1.70003,1.70827,1.7289566666666667,0.9950417674021087,0.9832692934274427,0.9913519237557359,0.986436570331388,-0.007830899670277836,-0.009230950141110084,-0.00648546665880545,0.006554214391294286,0.005745528647105674,0.00532563801903628,-0.007830899670277836,-0.009230950141110084,-0.00648546665880545,32.769953051643256,1.70827,1.7322485079207532,1.6842914920792467,0.0280734402884243,0.01685901231689267,-0.005915166482481249,-0.0054612676047124335,-0.0004538988777688154,1.7292,1.6851,0.0,0.05,0.05,-1.9325639507324326,-1.598155939913445,-0.008823010411152188,-0.007830899670277836,-0.007830899670278169,-0.009230950141110195,-0.006485466658805228,2023,11,27,0,4,0,0,0,0,0,0,27,3,3511.942,-0.00736770313472912,-0.001455307276423068,1.0103575666678126,1.0098038657334343,1.0138349568931493,0.5760190401750026,0.0006820378426611428,-0.03317310545368235,0,1.0
